orb0,orb1,orb2,orb3,orb4,orb5,orb6,orb7,orb8,orb9,orb10,orb11,orb12,orb13,orb14,orb15,orb16,orb17,orb18,orb19,orb20,orb21,orb22,orb23,orb24,orb25,orb26,orb27,orb28,orb29,prev,curr,score
3,6,5,4,2,5,2,4,1,6,2,2,3,3,2,4,3,4,3,1,6,5,2,5,5,2,5,6,3,6,11,5,3100
3,2,2,6,6,4,6,6,4,5,4,2,4,6,5,3,2,4,1,1,3,1,1,5,6,1,3,5,1,5,11,5,4150
2,4,3,1,2,4,4,5,4,6,3,2,6,2,6,5,1,5,1,1,4,3,2,6,2,1,4,3,3,1,3,4,4200
3,3,3,3,4,4,1,1,3,1,5,4,5,3,5,5,1,4,3,5,4,5,3,1,3,3,1,1,3,4,20,26,7200
6,1,6,5,3,2,6,3,6,2,6,1,5,6,3,2,4,4,6,2,3,6,1,2,4,4,5,3,2,3,14,8,3150
5,1,6,3,5,1,6,1,6,4,6,2,6,1,6,3,1,6,1,1,5,4,1,6,4,4,1,5,6,3,7,13,5150
5,2,2,3,3,6,3,3,1,1,5,5,4,6,1,6,6,1,4,5,2,1,1,6,2,3,3,4,1,2,8,14,4200
4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,2,2,4,4,2,25,19,5150
5,6,3,3,3,3,2,5,5,5,5,2,5,6,4,3,2,4,5,3,2,4,4,5,4,3,2,6,5,3,4,3,5150
6,6,5,5,5,6,5,6,6,6,6,6,6,6,6,5,5,5,5,5,6,5,6,6,6,5,6,5,5,6,17,23,8100
2,3,3,3,3,3,2,3,4,4,2,6,6,6,3,4,3,4,6,4,4,2,4,4,2,4,2,2,2,3,15,9,7100
3,3,3,1,4,3,4,1,4,1,4,1,3,3,4,4,1,4,1,3,4,3,3,1,3,1,4,1,3,3,10,11,7150
3,6,5,2,5,6,2,6,6,4,4,2,3,2,2,3,2,6,3,2,6,5,2,6,5,3,3,2,3,3,23,22,5150
5,4,5,4,4,2,2,2,4,5,2,5,5,5,5,2,5,4,4,5,5,2,4,2,5,2,2,5,4,2,9,3,7200
4,5,4,5,4,4,5,2,5,2,2,4,4,4,4,5,4,5,2,4,5,5,5,4,4,5,5,2,5,5,28,27,7200
