orb0,orb1,orb2,orb3,orb4,orb5,orb6,orb7,orb8,orb9,orb10,orb11,orb12,orb13,orb14,orb15,orb16,orb17,orb18,orb19,orb20,orb21,orb22,orb23,orb24,orb25,orb26,orb27,orb28,orb29,prev,curr,score
2,2,2,2,6,3,6,6,6,2,6,6,2,6,6,3,2,2,6,3,6,2,6,2,2,2,2,3,6,3,5,4,8150
6,6,3,2,4,2,1,5,1,1,5,6,6,6,1,6,5,4,3,2,4,5,1,3,1,2,4,6,4,2,4,5,4150
3,1,4,6,3,1,4,4,2,3,1,3,4,3,5,4,1,2,5,2,2,1,6,3,5,1,5,1,2,5,7,1,3150
2,3,6,6,6,3,5,3,2,6,1,1,6,4,1,1,5,5,4,2,4,3,6,4,2,5,5,5,4,4,19,25,4150
5,1,6,6,2,4,6,5,3,3,2,6,2,2,4,1,1,6,6,3,2,2,3,3,1,6,1,2,3,6,19,13,5150
3,2,5,5,5,5,6,5,1,3,6,5,1,5,6,5,2,5,6,3,6,2,1,6,2,3,6,2,2,3,12,6,5050
4,4,1,1,5,2,1,4,1,3,6,2,6,4,3,1,6,1,2,3,3,3,4,1,2,2,5,6,6,4,-1,8,5150
3,6,5,4,5,1,4,2,4,5,2,4,6,1,1,6,1,4,3,6,4,5,1,3,4,5,2,4,4,3,12,13,4150
5,1,6,5,6,2,2,3,1,5,1,3,5,2,4,4,6,4,2,6,1,3,2,2,2,4,5,3,5,4,22,23,2100
4,4,4,4,1,5,5,1,5,6,5,1,6,5,5,3,6,4,4,3,3,6,2,3,4,1,3,5,1,2,19,25,5050
3,4,3,4,3,1,5,4,2,3,6,1,2,6,5,6,3,5,5,5,1,4,6,1,1,1,1,5,4,1,-1,29,6150
6,1,2,3,4,2,1,3,2,4,5,6,3,6,6,5,4,2,3,3,3,4,4,6,1,3,5,2,2,3,4,3,5150
2,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,2,3,3,2,2,2,3,3,3,3,2,2,2,3,18,24,7100
4,4,1,4,4,5,6,4,6,6,6,6,1,4,3,4,3,3,5,5,4,3,5,5,6,4,3,3,5,1,9,10,6100
2,5,1,5,3,1,1,4,4,5,4,3,4,4,3,3,2,3,4,5,2,1,5,3,4,4,4,1,1,2,21,15,6150
1,2,2,2,5,6,1,2,5,6,2,5,2,1,1,3,5,6,5,4,2,4,5,4,3,3,4,6,5,4,4,3,4100
3,4,4,5,3,3,3,3,3,5,2,3,1,2,1,1,5,5,6,3,6,6,3,6,4,2,1,4,5,5,14,13,5150
3,3,1,3,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3,1,1,3,1,3,1,1,3,3,3,1,16,10,8200
4,4,1,2,5,2,5,6,4,4,1,3,5,1,5,1,6,1,2,5,5,5,5,4,5,5,1,3,3,2,8,7,4200
6,6,6,2,6,5,6,3,2,6,2,2,6,3,5,6,6,3,1,5,6,2,1,3,1,5,1,1,1,6,15,9,6150
6,6,6,4,6,6,6,4,6,6,4,4,6,4,6,4,6,4,6,6,4,4,4,6,6,6,6,4,6,6,2,1,7200
2,2,1,3,2,5,6,3,6,1,6,4,2,6,4,6,1,1,6,3,3,4,4,3,4,6,5,4,3,5,8,9,5150
4,3,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,9,7250
5,5,6,3,5,3,3,2,5,1,3,1,6,1,3,5,2,2,1,3,5,5,5,5,1,3,6,2,3,4,1,2,6150
2,1,1,4,3,3,6,4,4,3,5,1,2,6,6,6,5,4,1,1,1,6,5,5,5,5,6,1,6,4,9,15,6100
1,6,3,3,1,1,1,6,3,3,3,1,1,6,6,1,6,6,6,3,1,3,1,1,1,3,3,3,3,3,2,8,8150
6,4,3,1,5,4,3,4,3,3,6,3,4,6,3,4,4,5,5,5,1,4,3,5,6,6,3,5,3,1,15,14,5150
5,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,5,5,6,6,5,22,16,8250
3,6,1,3,6,3,1,3,1,3,6,6,1,6,3,3,6,3,1,1,6,3,3,6,3,1,3,6,1,6,15,14,7300
2,3,5,6,3,5,3,2,5,4,3,2,6,1,2,4,5,5,5,4,2,3,2,6,5,4,4,3,4,3,-1,20,5250
